timestamp,api_cpu_cores,app_cpu_cores,db_cpu_cores
2026-02-18T05:32:25+00:00,0.0793,0.0613,0.0068
2026-02-18T05:32:40+00:00,0.1106,0.1042,0.0074
2026-02-18T05:32:55+00:00,0.1289,0.131,0.0081
2026-02-18T05:33:10+00:00,0.1694,0.1628,0.0086
2026-02-18T05:33:25+00:00,0.2187,0.196,0.0093
2026-02-18T05:33:40+00:00,0.2491,0.2378,0.0099
2026-02-18T05:33:55+00:00,0.2303,0.2394,0.0101
2026-02-18T05:34:10+00:00,0.2492,0.2409,0.0102
2026-02-18T05:34:25+00:00,0.2493,0.2239,0.0101
2026-02-18T05:34:40+00:00,0.2492,0.2399,0.01
2026-02-18T05:34:55+00:00,0.249,0.2148,0.0097
2026-02-18T05:35:10+00:00,0.2491,0.2387,0.0095
2026-02-18T05:35:25+00:00,0.2492,0.2162,0.0094
2026-02-18T05:35:40+00:00,0.249,0.2397,0.0103
2026-02-18T05:35:55+00:00,0.2491,0.2395,0.0103
2026-02-18T05:36:10+00:00,0.249,0.2401,0.0103
2026-02-18T05:36:25+00:00,0.249,0.24,0.0104
2026-02-18T05:36:40+00:00,0.2491,0.241,0.0108
2026-02-18T05:36:55+00:00,0.2487,0.2401,0.0101
2026-02-18T05:37:10+00:00,0.2488,0.2384,0.0107
2026-02-18T05:37:25+00:00,0.2488,0.2372,0.0106
2026-02-18T05:37:40+00:00,0.2488,0.2102,0.0105
2026-02-18T05:37:55+00:00,0.249,0.2338,0.0105
2026-02-18T05:38:10+00:00,0.2488,0.2316,0.0107
2026-02-18T05:38:25+00:00,0.2487,0.2314,0.0103
2026-02-18T05:38:40+00:00,0.249,0.2314,0.0097
2026-02-18T05:38:55+00:00,0.2492,0.232,0.0098
2026-02-18T05:39:10+00:00,0.2493,0.2343,0.0096
2026-02-18T05:39:25+00:00,0.2493,0.2362,0.0093
2026-02-18T05:39:40+00:00,0.2491,0.2377,0.0093
2026-02-18T05:39:55+00:00,0.2492,0.2385,0.0093
2026-02-18T05:40:10+00:00,0.2491,0.2386,0.0095
2026-02-18T05:40:25+00:00,0.2265,0.238,0.0092
2026-02-18T05:40:40+00:00,0.2481,0.2355,0.0092
2026-02-18T05:40:55+00:00,0.2474,0.2333,0.0092
2026-02-18T05:41:10+00:00,0.2453,0.2321,0.0108
2026-02-18T05:41:25+00:00,0.245,0.2315,0.0107
2026-02-18T05:41:40+00:00,0.2444,0.2281,0.0106
2026-02-18T05:41:55+00:00,0.2445,0.2277,0.0104
2026-02-18T05:42:10+00:00,0.2257,0.225,0.01
2026-02-18T05:42:25+00:00,0.2448,0.2235,0.0105
2026-02-18T05:42:40+00:00,0.2452,0.2221,0.0103
2026-02-18T05:42:55+00:00,0.2471,0.1999,0.0087
2026-02-18T05:43:10+00:00,0.2292,0.2209,0.0086
2026-02-18T05:43:25+00:00,0.2474,0.2214,0.0085
2026-02-18T05:43:40+00:00,0.2292,0.2024,0.0086
2026-02-18T05:43:55+00:00,0.2471,0.2221,0.0086
2026-02-18T05:44:10+00:00,0.2469,0.2226,0.0087
2026-02-18T05:44:25+00:00,0.2467,0.1991,0.0086
2026-02-18T05:44:40+00:00,0.2466,0.222,0.0088
2026-02-18T05:44:55+00:00,0.2466,0.2223,0.0087
2026-02-18T05:45:10+00:00,0.2461,0.2219,0.009
2026-02-18T05:45:25+00:00,0.2464,0.2215,0.009
2026-02-18T05:45:40+00:00,0.2464,0.2212,0.009
2026-02-18T05:45:55+00:00,0.2465,0.2215,0.0089
2026-02-18T05:46:10+00:00,0.2466,0.2223,0.0091
