time     | svc | cur | Δ  | tgt | p99
16:47:58 | api |   1 | -1 |   1 | 20.0000
16:47:58 | app |   1 | -1 |   1 | 20.0000
16:47:58 | db  |   1 | -1 |   1 | 20.0000
16:48:29 | api |   1 | +1 |   2 | 494.2132
16:48:29 | app |   1 | +0 |   1 | 997.6656
16:48:29 | db  |   1 | -1 |   1 | 20.0000
16:48:59 | api |   2 | +1 |   3 | 634.7471
16:48:59 | app |   1 | +0 |   1 | 905.9182
16:48:59 | db  |   1 | -1 |   1 | 20.0000
16:49:29 | api |   3 | +1 |   4 | 494.1785
16:49:30 | app |   1 | +0 |   1 | 793.7273
16:49:30 | db  |   1 | -1 |   1 | 20.0000
16:50:00 | api |   4 | +1 |   5 | 481.9243
16:50:00 | app |   1 | +0 |   1 | 665.9989
16:50:00 | db  |   1 | -1 |   1 | 20.0000
16:50:30 | api |   5 | +1 |   5 | 162.5871
16:50:30 | app |   1 | -1 |   1 | 348.9138
16:50:30 | db  |   1 | -1 |   1 | 20.0000
16:51:00 | api |   5 | +0 |   5 | 16.0736
16:51:00 | app |   1 | -1 |   1 | 233.3314
16:51:00 | db  |   1 | -1 |   1 | 20.0000
16:51:31 | api |   5 | +1 |   5 | 13.3739
16:51:31 | app |   1 | -1 |   1 | 225.3998
16:51:31 | db  |   1 | -1 |   1 | 20.0000
16:52:01 | api |   5 | +1 |   5 | 12.8086
16:52:01 | app |   1 | -1 |   1 | 225.1980
16:52:01 | db  |   1 | -1 |   1 | 20.0000
16:52:31 | api |   5 | +0 |   5 |  9.6194
16:52:31 | app |   1 | -1 |   1 | 165.3425
16:52:31 | db  |   1 | -1 |   1 | 20.0000
16:53:01 | api |   5 | +1 |   5 |  8.4499
16:53:01 | app |   1 | -1 |   1 | 93.2348
16:53:01 | db  |   1 | -1 |   1 | 20.0000
16:53:32 | api |   5 | -1 |   4 |  7.8293
16:53:32 | app |   1 | -1 |   1 | 72.5070
16:53:32 | db  |   1 | -1 |   1 | 20.0000
16:54:02 | api |   4 | +0 |   4 |  8.5296
16:54:02 | app |   1 | -1 |   1 | 84.8153
16:54:02 | db  |   1 | -1 |   1 | 20.0000
16:54:32 | api |   4 | +0 |   4 |  9.2329
16:54:32 | app |   1 | -1 |   1 | 109.7333
16:54:32 | db  |   1 | -1 |   1 | 20.0000
16:55:03 | api |   4 | +1 |   5 |  8.8874
16:55:03 | app |   1 | -1 |   1 | 97.4338
16:55:03 | db  |   1 | -1 |   1 | 20.0000
16:55:33 | api |   5 | +0 |   5 |  9.5591
16:55:33 | app |   1 | -1 |   1 | 132.9668
16:55:33 | db  |   1 | -1 |   1 | 20.0000
16:56:03 | api |   5 | +0 |   5 |  9.8808
16:56:03 | app |   1 | -1 |   1 | 193.8749
16:56:03 | db  |   1 | -1 |   1 | 20.0000
16:56:34 | api |   5 | -1 |   4 | 17.1689
16:56:34 | app |   1 | -1 |   1 | 221.7846
16:56:34 | db  |   1 | -1 |   1 | 20.0000
16:57:04 | api |   4 | +0 |   4 | 20.8606
16:57:04 | app |   1 | -1 |   1 | 244.4972
16:57:04 | db  |   1 | -1 |   1 | 20.0000
16:57:34 | api |   4 | +1 |   5 | 21.5956
16:57:34 | app |   1 | -1 |   1 | 245.4651
16:57:34 | db  |   1 | -1 |   1 | 20.0000
16:58:05 | api |   5 | -1 |   4 | 21.7137
16:58:05 | app |   1 | -1 |   1 | 241.8440
16:58:05 | db  |   1 | -1 |   1 | 20.0000
16:58:35 | api |   4 | +0 |   4 | 21.5762
16:58:35 | app |   1 | -1 |   1 | 235.0172
16:58:35 | db  |   1 | -1 |   1 | 20.0000
16:59:05 | api |   4 | +1 |   5 | 21.9607
16:59:05 | app |   1 | -1 |   1 | 223.6417
16:59:05 | db  |   1 | -1 |   1 | 20.0000
16:59:36 | api |   5 | +0 |   5 | 22.1269
16:59:36 | app |   1 | -1 |   1 | 214.6162
16:59:36 | db  |   1 | -1 |   1 | 20.0000
17:00:06 | api |   5 | +0 |   5 | 22.9839
17:00:06 | app |   1 | -1 |   1 | 233.3862
17:00:06 | db  |   1 | -1 |   1 | 20.0000
17:00:36 | api |   5 | +1 |   5 | 22.4082
17:00:36 | app |   1 | -1 |   1 | 243.8111
17:00:36 | db  |   1 | -1 |   1 | 20.0000
17:01:07 | api |   5 | -1 |   4 | 22.3883
17:01:07 | app |   1 | -1 |   1 | 246.3999
17:01:07 | db  |   1 | -1 |   1 | 20.0000
17:01:37 | api |   4 | -1 |   3 | 21.6274
17:01:37 | app |   1 | -1 |   1 | 239.2471
17:01:37 | db  |   1 | -1 |   1 | 20.0000
17:02:07 | api |   3 | +1 |   4 | 23.4072
17:02:07 | app |   1 | -1 |   1 | 246.0299
17:02:07 | db  |   1 | -1 |   1 | 20.0000
17:02:38 | api |   4 | +0 |   4 | 24.3755
17:02:38 | app |   1 | -1 |   1 | 226.8601
17:02:38 | db  |   1 | -1 |   1 | 20.0000
17:03:08 | api |   4 | +0 |   4 | 26.6902
17:03:08 | app |   1 | -1 |   1 | 225.5414
17:03:08 | db  |   1 | -1 |   1 | 20.0000
17:03:38 | api |   4 | +1 |   5 | 23.8715
17:03:38 | app |   1 | -1 |   1 | 227.0150
17:03:38 | db  |   1 | -1 |   1 | 20.0000
17:04:09 | api |   5 | +1 |   5 | 22.7275
17:04:09 | app |   1 | -1 |   1 | 299.3763
17:04:09 | db  |   1 | -1 |   1 | 20.0000
17:04:39 | api |   5 | -1 |   4 | 22.5675
17:04:39 | app |   1 | -1 |   1 | 496.2380
17:04:39 | db  |   1 | -1 |   1 | 20.0000
17:05:09 | api |   4 | +0 |   4 | 23.0363
17:05:09 | app |   1 | +0 |   1 | 792.9704
17:05:09 | db  |   1 | -1 |   1 | 20.0000
17:05:39 | api |   4 | +1 |   5 | 23.9430
17:05:40 | app |   1 | +0 |   1 | 844.0056
17:05:40 | db  |   1 | -1 |   1 | 20.0000
17:06:10 | api |   5 | +0 |   5 | 24.8581
17:06:10 | app |   1 | +0 |   1 | 870.8847
17:06:10 | db  |   1 | -1 |   1 | 20.0000
17:06:40 | api |   5 | +0 |   5 | 31.2526
17:06:40 | app |   1 | +0 |   1 | 876.3497
17:06:40 | db  |   1 | -1 |   1 | 20.0000
17:07:10 | api |   5 | -1 |   4 | 37.1744
17:07:10 | app |   1 | +0 |   1 | 892.6306
17:07:10 | db  |   1 | -1 |   1 | 20.0000
17:07:41 | api |   4 | +0 |   4 | 30.4419
17:07:41 | app |   1 | +0 |   1 | 915.8236
17:07:41 | db  |   1 | -1 |   1 | 20.0000
17:08:11 | api |   4 | +1 |   5 | 31.6241
17:08:11 | app |   1 | +0 |   1 | 904.0388
17:08:11 | db  |   1 | -1 |   1 | 20.0000
17:08:41 | api |   5 | +0 |   5 | 35.0328
17:08:41 | app |   1 | +0 |   1 | 908.7889
17:08:41 | db  |   1 | -1 |   1 | 20.0000
17:09:12 | api |   5 | +1 |   5 | 39.2795
17:09:12 | app |   1 | +0 |   1 | 886.4838
17:09:12 | db  |   1 | -1 |   1 | 20.0000
17:09:42 | api |   5 | -1 |   4 | 38.5114
17:09:42 | app |   1 | +0 |   1 | 864.9879
17:09:42 | db  |   1 | -1 |   1 | 20.0000
17:10:12 | api |   4 | +0 |   4 | 35.6536
17:10:12 | app |   1 | +0 |   1 | 874.9170
17:10:12 | db  |   1 | -1 |   1 | 20.0000
17:10:42 | api |   4 | +1 |   5 | 28.3823
17:10:42 | app |   1 | +0 |   1 | 892.7630
17:10:42 | db  |   1 | -1 |   1 | 20.0000
17:11:13 | api |   5 | +1 |   5 | 24.8708
17:11:13 | app |   1 | +0 |   1 | 889.1672
17:11:13 | db  |   1 | -1 |   1 | 20.0000
17:11:43 | api |   5 | +0 |   5 | 24.7117
17:11:43 | app |   1 | +0 |   1 | 878.5385
17:11:43 | db  |   1 | -1 |   1 | 20.0000
17:12:13 | api |   5 | -1 |   4 | 24.8532
17:12:13 | app |   1 | +0 |   1 | 862.2456
17:12:13 | db  |   1 | -1 |   1 | 20.0000
17:12:44 | api |   4 | -1 |   3 | 23.7013
17:12:44 | app |   1 | +0 |   1 | 812.4543
17:12:44 | db  |   1 | -1 |   1 | 20.0000
17:13:14 | api |   3 | +0 |   3 | 22.0307
17:13:14 | app |   1 | +0 |   1 | 734.3339
