timestamp,api_cpu_cores,app_cpu_cores,db_cpu_cores
2026-02-21T05:22:24+00:00,0.0962,0.077,0.0077
2026-02-21T05:22:39+00:00,0.1347,0.1092,0.0073
2026-02-21T05:22:54+00:00,0.194,0.1665,0.0088
2026-02-21T05:23:09+00:00,0.2611,0.2232,0.0098
2026-02-21T05:23:24+00:00,0.3214,0.2902,0.0105
2026-02-21T05:23:39+00:00,0.4256,0.3591,0.0107
2026-02-21T05:23:54+00:00,0.4545,0.3632,0.0107
2026-02-21T05:24:09+00:00,0.4798,0.4091,0.0108
2026-02-21T05:24:24+00:00,0.4884,0.4188,0.011
2026-02-21T05:24:39+00:00,0.4884,0.437,0.0105
2026-02-21T05:24:54+00:00,0.4862,0.4392,0.0106
2026-02-21T05:25:09+00:00,0.513,0.4394,0.0107
2026-02-21T05:25:24+00:00,0.4938,0.4287,0.0108
2026-02-21T05:25:39+00:00,0.4917,0.4094,0.0106
2026-02-21T05:25:54+00:00,0.4997,0.428,0.0106
2026-02-21T05:26:09+00:00,0.4733,0.4266,0.0104
2026-02-21T05:26:24+00:00,0.4988,0.4268,0.0107
2026-02-21T05:26:39+00:00,0.4916,0.4301,0.0109
2026-02-21T05:26:54+00:00,0.5082,0.4156,0.0107
2026-02-21T05:27:09+00:00,0.5071,0.4337,0.0106
2026-02-21T05:27:24+00:00,0.5287,0.4398,0.0108
2026-02-21T05:27:39+00:00,0.5305,0.4411,0.0108
2026-02-21T05:27:54+00:00,0.5203,0.4469,0.0107
2026-02-21T05:28:09+00:00,0.5401,0.4462,0.0097
2026-02-21T05:28:24+00:00,0.5362,0.4431,0.0103
2026-02-21T05:28:39+00:00,0.5128,0.3982,0.0101
2026-02-21T05:28:54+00:00,0.5184,0.4339,0.0101
2026-02-21T05:29:09+00:00,0.5198,0.4273,0.0097
2026-02-21T05:29:24+00:00,0.5086,0.4236,0.0096
2026-02-21T05:29:39+00:00,0.5102,0.4193,0.0095
2026-02-21T05:29:54+00:00,0.5048,0.4212,0.0095
2026-02-21T05:30:09+00:00,0.5786,0.4868,0.0101
2026-02-21T05:30:24+00:00,0.6409,0.5566,0.0109
2026-02-21T05:30:39+00:00,0.7312,0.634,0.0122
2026-02-21T05:30:54+00:00,0.7873,0.6906,0.0136
