time     | svc | cur | Δ  | tgt | p99
18:23:32 | api |   1 | -1 |   1 | 20.0000
18:23:32 | app |   1 | -1 |   1 | 20.0000
18:23:32 | db  |   1 | -1 |   1 | 20.0000
18:24:02 | api |   1 | -1 |   1 | 20.0000
18:24:02 | app |   1 | -1 |   1 | 20.0000
18:24:02 | db  |   1 | -1 |   1 | 20.0000
18:24:32 | api |   1 | -1 |   1 | 20.0000
18:24:32 | app |   1 | -1 |   1 | 20.0000
18:24:32 | db  |   1 | -1 |   1 | 20.0000
18:25:02 | api |   1 | -1 |   1 | 20.0000
18:25:02 | app |   1 | +1 |   2 | 20.0000
18:25:02 | db  |   1 | -1 |   1 | 20.0000
18:25:33 | api |   1 | +0 |   1 | 20.0000
18:25:33 | app |   2 | +1 |   3 | 20.0000
18:25:33 | db  |   1 | -1 |   1 | 20.0000
18:26:03 | api |   1 | -1 |   1 | 20.0000
18:26:03 | app |   3 | +1 |   4 | 20.0000
18:26:03 | db  |   1 | -1 |   1 | 20.0000
18:26:33 | api |   1 | -1 |   1 | 20.0000
18:26:33 | app |   4 | +1 |   5 | 20.0000
18:26:33 | db  |   1 | -1 |   1 | 20.0000
18:27:04 | api |   1 | -1 |   1 | 20.0000
18:27:04 | app |   5 | +1 |   5 | 20.0000
18:27:04 | db  |   1 | -1 |   1 | 20.0000
18:27:34 | api |   1 | -1 |   1 | 20.0000
18:27:34 | app |   5 | +1 |   5 | 20.0000
18:27:34 | db  |   1 | -1 |   1 | 20.0000
18:28:04 | api |   1 | -1 |   1 | 20.0000
18:28:04 | app |   5 | +1 |   5 | 20.0000
18:28:04 | db  |   1 | -1 |   1 | 20.0000
18:28:34 | api |   1 | -1 |   1 | 20.0000
18:28:34 | app |   5 | +1 |   5 | 20.0000
18:28:34 | db  |   1 | -1 |   1 | 20.0000
18:29:04 | api |   1 | -1 |   1 | 20.0000
18:29:04 | app |   5 | -1 |   4 | 20.0000
18:29:05 | db  |   1 | -1 |   1 | 20.0000
18:29:35 | api |   1 | -1 |   1 | 20.0000
18:29:35 | app |   4 | -1 |   3 | 20.0000
18:29:35 | db  |   1 | -1 |   1 | 20.0000
18:30:05 | api |   1 | -1 |   1 | 20.0000
18:30:05 | app |   3 | -1 |   2 | 20.0000
18:30:05 | db  |   1 | -1 |   1 | 20.0000
