timestamp,api_cpu_cores,app_cpu_cores,db_cpu_cores
2026-04-27T13:05:02+00:00,0.0447,,
2026-04-27T13:05:17+00:00,0.0897,,0.073
2026-04-27T13:05:32+00:00,0.1338,,0.0721
2026-04-27T13:05:47+00:00,0.0763,,0.0151
2026-04-27T13:06:02+00:00,0.0237,,0.0151
2026-04-27T13:06:17+00:00,0.0237,,0.0151
2026-04-27T13:06:32+00:00,0.0815,,0.0151
2026-04-27T13:06:47+00:00,0.1679,0.1335,0.0564
2026-04-27T13:07:02+00:00,0.1787,0.1569,0.0564
2026-04-27T13:07:17+00:00,0.1895,0.1804,0.0547
2026-04-27T13:09:17+00:00,0.0062,0.0019,
2026-04-27T13:09:32+00:00,0.0211,0.0258,0.0024
2026-04-27T13:09:47+00:00,0.0651,0.0657,0.0045
2026-04-27T13:10:02+00:00,0.1036,0.1056,0.0059
2026-04-27T13:10:17+00:00,0.1562,0.1414,0.0072
