timestamp,api_cpu_cores,app_cpu_cores,db_cpu_cores
2026-04-28T04:10:37+00:00,0.0647,0.0854,0.0061
2026-04-28T04:10:52+00:00,0.125,0.132,0.0063
2026-04-28T04:11:07+00:00,0.1597,0.1543,0.007
2026-04-28T04:11:22+00:00,0.2247,0.2097,0.0081
2026-04-28T04:11:37+00:00,0.2807,0.2266,0.0088
2026-04-28T04:11:52+00:00,0.3523,0.2905,0.0096
2026-04-28T04:12:07+00:00,0.3852,0.3408,0.0087
2026-04-28T04:12:22+00:00,0.4207,0.3676,0.0103
2026-04-28T04:12:37+00:00,0.4752,0.4047,0.0119
2026-04-28T04:12:52+00:00,0.4917,0.4277,0.0141
2026-04-28T04:13:07+00:00,0.5223,0.4508,0.0162
2026-04-28T04:13:22+00:00,0.5415,0.4734,0.0174
2026-04-28T04:13:37+00:00,0.5505,0.4554,0.0205
