timestamp,api_cpu_cores,app_cpu_cores,db_cpu_cores
2026-04-28T04:16:18+00:00,0.0773,0.0793,0.0059
2026-04-28T04:16:33+00:00,0.0351,0.0402,0.0052
2026-04-28T04:16:48+00:00,0.0069,0.0163,0.0047
2026-04-28T04:17:03+00:00,0.0051,0.001,0.0043
2026-04-28T04:17:18+00:00,0.005,0.001,0.0044
2026-04-28T04:17:33+00:00,0.0318,0.0208,0.0046
2026-04-28T04:17:48+00:00,0.0612,0.0613,0.0053
2026-04-28T04:18:03+00:00,0.087,0.0977,0.006
2026-04-28T04:18:18+00:00,0.1486,0.1539,0.0065
2026-04-28T04:18:33+00:00,0.1885,0.2055,0.0075
2026-04-28T04:18:48+00:00,0.2446,0.2525,0.0083
2026-04-28T04:19:03+00:00,0.315,0.305,0.0082
2026-04-28T04:19:18+00:00,0.3774,0.3188,0.0121
